,address,formatted_address,,latitude,longitude,number_of_results,status,zipcode
0,"1000 block of Woodlawn Ave, Rockford, Illinois","1000 Woodlawn Ave, Rockford, IL 61103, USA",,42.2836498,-89.0953004,1,OK,61103
1,"16300 Nyemii Pass Rd, Valley Center, California","16300 Nyemii Pass Pl, Valley Center, CA 92082, USA",,33.2197616,-116.9729166,1,OK,92082
2,"Marcus Avenue and Northland Avenue, Saint Louis, Missouri","Marcus Ave & Northland Ave, St. Louis, MO 63113, USA",,38.6658857,-90.2494278,1,OK,63113
3,"5400 W Madison St, Chicago, Illinois","5400 W Madison St, Chicago, IL 60644, USA",,41.880518,-87.760315,1,OK,60644
4,"US 84, Santa Fe, New Mexico","US-84, Santa Fe, NM, USA",,35.688333,-105.9539502,1,OK,
5,"5307 Gulfway Drive, Groves, Texas","5307 Gulfway Dr, Port Arthur, TX 77642, USA",,29.925438,-93.9062911,1,OK,77642
6,"Jackson Place and Chatham, Grand Rapids, Michigan","Jackson Pl NW & Chatham St NW, Grand Rapids, MI 49504, USA",,42.9690057,-85.6900869,1,OK,49504
7,"315 Marcus Garvey Blvd, Brooklyn, New York","315 Marcus Garvey Blvd, Brooklyn, NY 11221, USA",,40.6866409,-73.9386227,1,OK,11221
8,"2040 W. Boone Ave, Spokane, Washington","2040 W Boone Ave, Spokane, WA 99201, USA",,47.6683116,-117.4430307,1,OK,99201
9,"1500 block of Cole Street, Baltimore, Maryland","1500 Cole St, Baltimore, MD 21223, USA",,39.282415,-76.6406079,1,OK,21223
10,"401 Dudley Street, Syracuse, New York","401 Dudley St, Syracuse, NY 13204, USA",,43.0346552,-76.1698376,1,OK,13204
11,"Fort Worth St, Baytown, Texas","Fort Worth St, Baytown, TX 77520, USA",,29.7469583,-94.9590895,1,OK,77520
12,"1500 block of Southwest Legacy Cove Circle, Martin (county), Florida","1500 SE Legacy Cove Cir, Stuart, FL 34997, USA",,27.1263578,-80.2329809,1,OK,34997
13,"1800 block of South Reynolds, Alice, Texas","1800 S Reynolds St, Alice, TX 78332, USA",,27.7328714,-98.0727522,1,OK,78332
14,"Hansford Street, Charleston, West Virginia","Hansford St, Charleston, WV, USA",,38.3473165,-81.6190922,1,OK,
15,"600 block of Reckord Rd, Fallston, Maryland","600 Reckord Rd, Fallston, MD 21047, USA",,39.4992985,-76.4146838,1,OK,21047
16,"3400 E Sky Harbor Blvd, Phoenix, Arizona","3400 E Sky Harbor Blvd, Phoenix, AZ 85034, USA",,33.43602,-111.997863,1,OK,85034
17,"800 block of Citadel Drive E., Colorado Springs, Colorado","800 Citadel Dr E, Colorado Springs, CO 80909, USA",,38.8439399,-104.7588162,1,OK,80909
18,"Train Avenue, Cleveland, Ohio","Train Ave, Cleveland, OH, USA",,41.4746213,-81.709008,1,OK,
19,"5100 block of Lakeview Dr, Granite City, Illinois","5100 Lakeview Dr, Granite City, IL 62040, USA",,38.7502897,-90.0816007,1,OK,62040
20,"700 block of Poplar St, Lancaster, Pennsylvania","700 Poplar St, Lancaster, PA 17603, USA",,40.0309526,-76.3143876,1,OK,17603
21,"Ardale Drive, High Point, North Carolina","Ardale Dr, High Point, NC 27260, USA",,35.9379909,-79.9876349,1,OK,27260
22,"S. Sixth Street and Washington Street, Hartsville, South Carolina","736 S 6th St, Hartsville, SC 29550, USA",,34.364702,-80.07202,1,OK,29550
23,"Webb Street and Steward Avenue, Jackson, Michigan","Steward Ave & Webb St, Jackson, MI 49202, USA",,42.2557798,-84.4163466,1,OK,49202
24,"10950 block of Westbrae Parkway, Houston, Texas","10950 Westbrae Pkwy, Houston, TX 77031, USA",,29.660774,-95.534673,1,OK,77031
25,"100 Block of Gem Ave, Bridgeport, Connecticut","100 Gem Ave, Bridgeport, CT 06606, USA",,41.1949957,-73.196752,1,OK,6606
26,"1500 block of Mckean Avenue, Baltimore, Maryland","1500 McKean Ave, Baltimore, MD 21217, USA",,39.3053239,-76.6470617,1,OK,21217
27,"2900 block of Timberbrook Drive, Charlotte, North Carolina","2900 Timberbrook Dr, Charlotte, NC 28208, USA",,35.248026,-80.909007,1,OK,28208
28,"1411 Howland Blvd. , Deltona, Florida","1411 Howland Blvd, Deltona, FL 32738, USA",,28.9034992,-81.1734794,1,OK,32738
29,"3200 block of Blackstone Avenue, Rockford, Illinois","3200 Blackstone Ave, Rockford, IL 61101, USA",,42.2929722,-89.1071792,1,OK,61101
30,"900 N. Starcrest Drive, Salt Lake City, Utah","900 N & Star Crest Dr W, Salt Lake City, UT 84116, USA",,40.7890319,-111.9435895,1,OK,84116
31,"Parks Highway and Seward Meridian Parkway, Wasilla, Alaska","1301 Seward Meridian Rd Suite G, Wasilla, AK 99654, USA",,61.5687257,-149.3590532,1,OK,99654
32,"Dixwell Avenue and Ivy Street, New Haven, Connecticut","Ivy St & Dixwell Ave, New Haven, CT 06511, USA",,41.330537,-72.9351667,1,OK,6511
33,"600 block of E 4th St, Duluth, Minnesota","600 E 4th St, Duluth, MN 55805, USA",,46.7953565,-92.0950777,1,OK,55805
34,"225 Mohawk Trail, Wilmington, North Carolina","225 Mohawk Trail, Wilmington, NC 28409, USA",,34.1550917,-77.8757228,1,OK,28409
35,"Campus Drive, Orangeburg, South Carolina","Campus Dr, Orangeburg, SC 29115, USA",,33.5034115,-80.8412218,1,OK,29115
36,"2800 block of Bronte Ave, Nashville, Tennessee","2800 Bronte Ave, Nashville, TN 37216, USA",,36.1993647,-86.7368965,1,OK,37216
37,"7341 Northwest 35th Street, Fort Lauderdale (Davie), Florida","7341 NW 35th St, Hollywood, FL 33024, USA",,26.0406719,-80.2357002,1,OK,33024
38,"300 block of South Peach Avenue, Marshfield, Wisconsin","300 S Peach Ave, Marshfield, WI 54449, USA",,44.6620041,-90.1674018,1,OK,54449
39,"800 block of South Wilbur Avenue, Syracuse, New York","800 S Wilbur Ave, Syracuse, NY 13204, USA",,43.040821,-76.1777399,1,OK,13204
40,"Amherst and Ashland Streets, Manchester, New Hampshire","Ashland St & Amherst St, Manchester, NH 03104, USA",,42.9918394,-71.448595,1,OK,3104
41,"Osprey Dr, Portsmouth, New Hampshire","Osprey Dr, Portsmouth, NH 03801, USA",,43.0889862,-70.7805531,1,OK,3801
42,"Hayes Ave, Fremont, Ohio","Hayes Ave, Fremont, OH 43420, USA",,41.3421167,-83.1352083,1,OK,43420
43,"North Claiborne Avenue and Canal Street, New Orleans, Louisiana","Canal St & N Claiborne Ave, New Orleans, LA 70112, USA",,29.9590771,-90.0775664,1,OK,70112
44,"300 block of Folk St, Easton, Pennsylvania","300 Folk St, Easton, PA 18042, USA",,40.6816467,-75.2083993,1,OK,18042
45,"4600 block of Dietrich Road, San Antonio, Texas","4600 Dietrich Rd, San Antonio, TX 78219, USA",,29.4414133,-98.4027578,1,OK,78219
46,"Rittiman Rd and I-35, San Antonio, Texas","6410 N Interstate 35, San Antonio, TX 78218, USA",,29.4886191,-98.4007478,1,OK,78218
47,"McClellan Street near 6th Street, Philadelphia, Pennsylvania","219 McClellan St, Philadelphia, PA 19148, USA",,39.925289,-75.150361,2,OK,19148
48,"Slocumb St and Elm St, Goldsboro, North Carolina","E Elm St & S Slocumb St, Goldsboro, NC 27530, USA",,35.3746574,-77.9900563,2,OK,27530
49,"850 Oak St SW, Atlanta, Georgia","850 Oak St SW, Atlanta, GA 30310, USA",,33.7390938,-84.4147756,1,OK,30310
50,"2000 block of West 13th Street, Jacksonville, Florida","2000 W 13th St, Jacksonville, FL 32209, USA",,30.3512734,-81.6915012,1,OK,32209
51,"Ingram Street and Linn Street, Sikeston, Missouri","Linn St & N Ingram Rd, Sikeston, MO 63801, USA",,36.8825287,-89.5691362,1,OK,63801
52,"1800 block of Remount Road, North Charleston, South Carolina","1800 Remount Rd, North Charleston, SC 29406, USA",,32.9001895,-80.0088344,1,OK,29406
53,"Jefferson Avenue, Brooklyn, New York","Jefferson Ave, Brooklyn, NY, USA",,40.6864888,-73.9221645,1,OK,
54,"700 Center Street, Oakland, California","700 Center St, Oakland, CA 94607, USA",,37.8053751,-122.2949164,1,OK,94607
55,"820 W McNichols Rd, Detroit, Michigan","820 W McNichols Rd, Highland Park, MI 48203, USA",,42.4176545,-83.112917,1,OK,48203
56,"1100 block of E Madison St, South Bend, Indiana","1100 E Madison St, South Bend, IN 46617, USA",,41.6805382,-86.2351917,1,OK,46617
57,"Paseo Del Norte and Unser Street, Albuquerque, New Mexico","Paseo Del Norte NW & Unser Blvd NW, Albuquerque, NM 87114, USA",,35.1839368,-106.7201373,1,OK,87114
58,"Riviera and Edge Cliff drive, San Diego, California","Edge Cliff Dr & Riviera Dr, San Diego, CA 92109, USA",,32.780655,-117.238197,1,OK,92109
59,"1900 W. Foster Ave., Chicago, Illinois","1900 W Foster Ave, Chicago, IL 60640, USA",,41.9763582,-87.6766492,1,OK,60640
60,"15000 block of South Jones Court, Oak Forest, Illinois","15000 Jones Ct, Oak Forest, IL 60452, USA",,41.618894,-87.7389047,1,OK,60452
